Platform,Product ID,Product Name,Category,Sub-Category
Blinkit,604046,"Gluman Stainless Steel, Plastic Cloth Hanger (Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,626523,HangitNow Cloth Hanger with Notches (White),Bathroom Essentials,Bathroom Essentials
Blinkit,612392,HangitNow Multipurpose Plastic Cloth Hanger (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,625806,HangitNow Pants and Sarees Plastic Cloth Hanger Set (Colour May Vary),Bathroom Essentials,Bathroom Essentials
Blinkit,624647,HangitNow Velvet Cloth Hanger Set (Black),Bathroom Essentials,Bathroom Essentials
Blinkit,612385,HangitNow Versatile Plastic Cloth Hanger (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,618451,HangitNow Wood Cloth Hanger (Light Brown),Bathroom Essentials,Bathroom Essentials
Blinkit,638695,HangitNow Wood Cloth Hanger with Adjustable Clips (Beige),Bathroom Essentials,Bathroom Essentials
Blinkit,618900,"Hemito Wall Hooks (Stainless Steel, Plastic, Transparent)",Bathroom Essentials,Bathroom Essentials
Blinkit,539858,HomeHarbor Stainless Steel Cloth Hanger (Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,563325,Homestrap Laundry Basket (Grey),Bathroom Essentials,Bathroom Essentials
Blinkit,563330,Homestrap Multi Hook Lotus Wood & Stainless steel Cloth Hanger (Brown),Bathroom Essentials,Bathroom Essentials
Blinkit,582247,"Homestrap Multipurpose Holder & Soap Dispenser (Plastic, White)",Bathroom Essentials,Bathroom Essentials
Blinkit,541450,Homestrap Velvet Plastic Cloth Hanger (Black),Bathroom Essentials,Bathroom Essentials
Blinkit,541451,Homestrap Wood Cloth Hanger (Brown),Bathroom Essentials,Bathroom Essentials
Blinkit,606826,"House of Quirk Bathroom Storage Organiser (Plastic, Light Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,563912,"House of Quirk Collapsible Laundry Basket (Beige, Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,563914,"House of Quirk Collapsible Laundry Basket (Beige, White)",Bathroom Essentials,Bathroom Essentials
Blinkit,563521,House of Quirk Cotton Storage Box / Closet Organizer (Dark Grey),Bathroom Essentials,Bathroom Essentials
Blinkit,563851,House of Quirk Round Collapsible Cotton Laundry Basket (Black),Bathroom Essentials,Bathroom Essentials
Blinkit,564128,House of Quirk Round Collapsible Cotton Laundry Basket (Grey),Bathroom Essentials,Bathroom Essentials
Blinkit,559109,House of Quirk Wall Mounted Polyester Laundry Basket (Grey),Bathroom Essentials,Bathroom Essentials
Blinkit,613639,IndianShelf Premium Adhesive Wall Hooks,Bathroom Essentials,Bathroom Essentials
Blinkit,524236,"Jockey T101 Cotton Bath Towel -T101 (27.6"" x 55.1"", Burgundy)",Bathroom Essentials,Bathroom Essentials
Blinkit,524232,"Jockey T201 Cotton Hand Towel -T201 (15.8"" x 23.6"", Burgundy)",Bathroom Essentials,Bathroom Essentials
Blinkit,524229,"Jockey T201 Cotton Hand Towel -T201 (15.8"" x 23.6"", Navy)",Bathroom Essentials,Bathroom Essentials
Blinkit,581452,Johnson Coral Brass Bib Cock Faucet,Bathroom Essentials,Bathroom Essentials
Blinkit,581801,Johnson Square Stainless Steel Floor Drainer,Bathroom Essentials,Bathroom Essentials
Blinkit,581457,Johnson Wavy Health Faucet,Bathroom Essentials,Bathroom Essentials
Blinkit,626992,Joseph Joseph Caddy Large Kitchen Organizer,Bathroom Essentials,Bathroom Essentials
Blinkit,535549,"KOPA D`Ross Quick Dry Cotton Bath Towel (56"" x 28"", Navy Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,535547,"KOPA D`Ross Quick Dry Cotton Bath Towel (56"" x 28"", Solid Red)",Bathroom Essentials,Bathroom Essentials
Blinkit,535550,"KOPA D`Ross Quick Dry Cotton Bath Towel (56"" x 28"", Taupe)",Bathroom Essentials,Bathroom Essentials
Blinkit,535552,"KOPA D`Ross Quick Dry Cotton Hand Towel (24"" x 16"", Navy Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,535551,"KOPA D`Ross Quick Dry Cotton Hand Towel (24"" x 16"", Red)",Bathroom Essentials,Bathroom Essentials
Blinkit,535553,"KOPA D`Ross Quick Dry Cotton Hand Towel (24"" x 16"", Taupe)",Bathroom Essentials,Bathroom Essentials
Blinkit,598316,"Kuber Industries Cotton Face Towel (20"" x 13"", Orange)",Bathroom Essentials,Bathroom Essentials
Blinkit,592787,"Kuber Industries Cotton Laundry Basket (Beige, Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,598282,"Kuber Industries Floral Design Cotton Bath Towel (30"" x 60"", Red)",Bathroom Essentials,Bathroom Essentials
Blinkit,615761,Kuber Industries Nylon Cloth Rope with 12 Clips (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,599116,Kuber Industries Plastic Cloth Hanger (Cream),Bathroom Essentials,Bathroom Essentials
Blinkit,599949,Kuber Industries Plastic Cloth Hanger (Pink),Bathroom Essentials,Bathroom Essentials
Blinkit,598464,Kuber Industries Steel Cloth Clips (Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,508051,Lifelong Folding Towel Rack (Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,548329,Limetro Steel Foldable Stainless Steel Cloth Dryer Stand (Silver),Bathroom Essentials,Bathroom Essentials
